stimulus,pred_raw_mca,pred_raw_mcv,pred_pre_mca,pred_pre_mcv
baseline,32.608414999999994,32.608414999999994,32.59022734164108,32.59022734164108
stim_1,12.529600000000002,1.6530799999999999,11.854078287483702,0.7109835333363244
stim_2,-4.564800000000002,0.7504199999999998,3.8133108010154366,0.34558532432983713
stim_3,-1.7163000000000004,0.5941400000000001,-3.0687005546245167,0.11652047682255003
stim_4,4.200800000000001,1.1025400000000005,4.686950764277228,0.26680236406209656
stim_5,-2.7708000000000013,0.5099200000000004,-2.4752853955277914,0.0989425729174684
stim_6,-3.3932,0.67864,-3.2148023859233277,0.2434689572100396
stim_7,Not Found,Not Found,-1.5493808833466503,0.08461525935572708
stim_8,-4.900300000000001,1.5542500000000015,2.7633298103366855,0.20412706854872198
stim_9,-3.1441000000000017,0.3714200000000005,-3.255676101326806,0.2541048338370665
stim_10,Not Found,Not Found,-5.912227102969194,0.14445552158943684
stim_11,9.438400000000001,0.9927199999999999,11.651332711612199,0.6458393680885394
stim_12,-5.821999999999999,1.08326,4.220322100355876,0.3176856896358181
stim_13,-2.324499999999997,0.47077999999999987,-4.295237005105886,0.32446214435459025
stim_14,2.9227999999999987,0.4769599999999997,3.3426672514196234,0.26618398841053403
stim_15,5.4832,0.8482799999999997,-0.8537095437173932,0.04370231156813986
stim_16,-7.422499999999999,0.90578,Not Found,Not Found
stim_17,7.2331,1.10062,7.002491903397637,0.5679418641451968
